asn1,asn2,rel_x,asn1RIR,asn2RIR,rel_y
111,10961,p2c,ARIN,ARIN,p2p
174,559,p2p,ARIN,ARIN,p2c
174,577,p2c,ARIN,ARIN,p2p
174,3255,p2c,ARIN,RIPE,p2p
174,4134,p2c,ARIN,ARIN,p2p
174,5400,p2c,ARIN,RIPE,p2p
174,7922,p2c,ARIN,ARIN,p2p
174,8001,p2p,ARIN,ARIN,p2c
174,9318,p2c,ARIN,APNIC,p2p
174,12041,p2c,ARIN,ARIN,p2p
174,20055,p2c,ARIN,ARIN,p2p
174,20075,p2c,ARIN,ARIN,p2p
174,20751,p2c,ARIN,RIPE,p2p
174,20810,p2p,ARIN,RIPE,p2c
174,21263,p2p,ARIN,RIPE,p2c
174,21688,p2p,ARIN,ARIN,p2c
174,22625,p2c,ARIN,ARIN,p2p
174,23374,p2p,ARIN,ARIN,p2c
174,25003,p2c,ARIN,RIPE,p2p
174,25459,p2c,ARIN,RIPE,p2p
174,28408,p2p,ARIN,LACNIC,p2c
174,34177,p2c,ARIN,RIPE,p2p
174,36444,p2c,ARIN,ARIN,p2p
174,39704,p2p,ARIN,RIPE,p2c
174,39816,p2p,ARIN,RIPE,p2c
174,41998,p2c,ARIN,RIPE,p2p
174,43338,p2c,ARIN,RIPE,p2p
174,43350,p2c,ARIN,RIPE,p2p
174,49515,p2c,ARIN,RIPE,p2p
174,49855,p2p,ARIN,RIPE,p2c
174,49909,p2p,ARIN,RIPE,p2c
174,52863,p2p,ARIN,LACNIC,p2c
174,60822,p2p,ARIN,RIPE,p2c
174,61003,p2p,ARIN,RIPE,p2c
174,135273,p2c,ARIN,APNIC,p2p
174,197019,p2c,ARIN,RIPE ,p2p
174,199483,p2p,ARIN,RIPE ,p2c
174,199569,p2c,ARIN,RIPE ,p2p
174,199599,p2p,ARIN,RIPE ,p2c
174,264162,p2p,ARIN,LACNIC,p2c
174,266414,p2c,ARIN,LACNIC,p2p
174,269096,p2p,ARIN,LACNIC,p2c
209,1436,p2p,ARIN,ARIN,p2c
209,13984,p2c,ARIN,ARIN,p2p
209,14818,p2p,ARIN,ARIN,p2c
209,22302,p2c,ARIN,ARIN,p2p
209,27400,p2p,ARIN,ARIN,p2c
209,30640,p2p,ARIN,ARIN,p2c
209,32719,p2c,ARIN,ARIN,p2p
209,32806,p2p,ARIN,ARIN,p2c
209,36012,p2c,ARIN,ARIN,p2p
286,1103,p2c,ARIN,ARIN,p2p
286,1820,p2c,ARIN,ARIN,p2p
286,2687,p2p,ARIN,ARIN,p2c
286,3265,p2c,ARIN,RIPE,p2p
286,3737,p2p,ARIN,ARIN,p2c
286,4181,p2c,ARIN,ARIN,p2p
286,5580,p2c,ARIN,RIPE,p2p
286,6067,p2c,ARIN,ARIN,p2p
286,7029,p2c,ARIN,ARIN,p2p
